fen,dataset_next_move,side_to_move,stockfish_bestmove,score_before,score_after,delta
rn3rk1/pRpqpp1p/2P3pb/6P1/P2pb2P/3P1N2/1P1PB3/1NBQK2R b - - 4 16,e4c6,black,e4c6,116,102,-14
1r1q1bn1/1b1ppk1r/n6p/PpP3p1/4P1p1/B4PP1/P1PNQ1BP/R4K1R w - - 0 18,h2h4,white,d2b3,-188,-206,-18
rnb2b1r/1p1p1kpp/pq5n/4p3/5p1P/2pN1P2/P1PPP1P1/R1BQKBNR b K - 1 15,b8c6,black,b8c6,163,160,-3
rnb3r1/p1q1pkbp/2p2pp1/1B1p4/P3NP2/4P2P/1PPP2P1/R1B1QKNR w - - 7 12,b5d3,white,b5d3,165,171,6
rnb1k2r/pp1p4/6pp/3P1pq1/1n1P1p1P/BP6/P1PK1QP1/R4BNR b q - 0 15,g5d8,black,g5d8,-564,-593,-29
2b4r/2pkq2p/n2p4/pr1QbP2/1p2KPn1/3B3N/PPPP2PP/R1BN1R2 w - - 19 20,d3b5,white,d5e6,313,347,34
7r/r2kbp1p/pp2p2q/1NpnP2P/b5pB/P2P1N2/RPP1QPPR/3K1B2 w - - 6 25,b5a7,white,b5a7,406,412,6
1n1qkb1r/r2ppppp/bp6/p1p4n/P1P4P/1P1P4/3BPPP1/RN1QKBNR w KQk - 0 10,g2g4,white,g2g4,126,131,5
rqb1kb2/pp1pnNpr/2p5/2n2pB1/1P1Pp3/P1P2PP1/4P2P/RN1QKB1R b Qq - 0 15,c5e6,black,c5e6,70,98,28
rnbqkb1r/1p1p3p/4pppn/2p5/p1P2P2/PP1PP3/R3N1PP/1NBQKB1R b Kkq - 1 8,d7d5,black,d7d5,46,47,1
r1bqkbr1/3pp1n1/ppp5/1P2Pppp/2BP2PP/5Q2/1PP2P2/RNB1K1NR b - - 1 19,h5g4,black,h5g4,-372,-364,8
rn2kbnr/3b4/1p1pp1pp/p1p1Nq2/P4P2/1P1PP2P/1RP3P1/2BK1BR1 w kq - 1 22,e5c4,white,e5d7,-742,-744,-2
rn1q2nr/1pp1k1b1/5p2/p1Pp1bpp/P2Pp1P1/7P/1PQBPP2/RN2KBNR w K - 9 16,g4f5,white,g4f5,309,304,-5
2b1k2r/3q1pb1/r1pppn2/pp5p/P1P1PP1N/R2Q2P1/1P3K1P/1NB2B1R b k - 0 18,b5c4,black,b5b4,-263,-262,1
r2q1bn1/p2p4/1ppPppp1/n3P1p1/1P2k3/2P1N1P1/PQ3P1r/1RBK2NR w - - 0 25,b2c2,white,h1h2,1031,99992,98961
1nbk3r/1rp1b1pp/p2qpp2/3p2Q1/p3PP1N/NP5P/P1PP2P1/R1BK3R b - - 7 14,f6g5,black,f6g5,712,734,22
r1kq3r/ppp1np1p/2Qp2p1/b1P1pb2/4n2P/3P3N/PP1BN3/R1K2B1R b - - 0 20,a5d2,black,a5d2,876,923,47
rnb1k1nr/pp1pq1p1/2p1p3/5p1p/3P1P1P/b1N1K3/PPP1P1PR/1RBQ1BN1 w kq - 2 9,b2a3,white,b2a3,313,322,9
rnb2b1r/ppppk1pn/4pq1p/8/3PPp2/2N3PP/PPP2P2/R1BQKBNR w - - 5 11,c1f4,white,c1f4,344,330,-14
rnb1kb2/3qp1p1/8/p1pBnp2/1p4P1/P1Pp4/1P1PNr2/R1BQKN1R w Qq - 2 20,e1f2,white,e2g3,-542,-552,-10
rnb1k2r/ppp1pp1p/7n/1P4p1/P1B1P1q1/8/2PP1P1P/bNB1K1NR b Kkq - 1 12,g4e4,black,g4e4,1023,1024,1
1nbq1kr1/r7/1pp2pp1/p1bp1np1/3PPPP1/PPP4P/3B2R1/RN2KB2 w Q - 1 20,g4f5,white,g4f5,-660,-662,-2
1rb1kb1r/ppq4p/1np1pn2/1B3pP1/PP1P4/4PQ1R/3P1PP1/RNB2KN1 w k - 3 13,g5f6,white,g5f6,292,295,3
r1bk1bnr/pq4pp/1pnp4/2p1p1N1/P4Bp1/3P2P1/RPPN1P1P/3QK2R b - - 5 16,g8f6,black,e5f4,721,714,-7
1rb2bkr/1p1np2p/6q1/p1pp1PN1/nPP3P1/5P1P/3P1K2/RNBQ1B1R b - - 0 18,g6g5,black,g6g5,-134,-106,28
rnb1kb1r/pp1p1p1p/4p2n/q1p3p1/1P6/P7/2PPPPPR/RNBQKBN1 b Qkq - 0 6,a5c7,black,c5b4,27,26,-1
rnbB1knr/3p1p1p/3bp3/ppp3p1/1P1P2P1/3KPN1P/P1P2P2/RN1Q1B1R w - - 1 13,b4c5,white,b4c5,808,786,-22
rnb1kbnr/ppB4p/2p5/1q1pp3/5p2/1P1P3P/P1PQPPP1/RN2KBNR b KQkq - 0 9,d5d4,black,b8d7,-130,-140,-10
rnb1kb2/pp1p2p1/7r/q1p1p2p/4Pp1N/BPN2B2/P1PP1nPP/R2QKR2 w Qq - 0 12,f1f2,white,e1f2,278,266,-12
rn2kb1r/ppp1pppp/2qpbn1B/8/8/2PP4/PPQ1PPPP/RN2KBNR b KQkq - 4 6,g7h6,black,g7h6,372,371,-1
r1bk2nr/1pp3pp/Q3pp2/n5P1/4pP2/1P3N1B/PbPK3P/RN5R b - - 0 15,a8a6,black,a8a6,717,706,-11
r1bqkbnr/1pppp1pp/p3n3/8/P1P2p1P/1P3P2/3PP1PR/RNBQKBN1 b Qkq - 0 7,d7d5,black,g8f6,93,78,-15
r1bk1br1/pp1pN3/n4p1p/8/8/N3Q1P1/PPP1PPPn/1RB1KB1R w - - 2 14,e7g8,white,e7g8,873,923,50
rnbqkb1r/2p1p2p/1p4pn/p2P1p2/8/1P1P1PPN/P3P2P/RNBQKB1R b KQkq - 0 7,f8g7,black,d8d5,-49,-58,-9
rnb3nr/pp1qp1bp/2Qpk3/2p2p2/2P1P2P/4KPp1/PP1PN1P1/RNB2B1R w - - 2 13,e4f5,white,e4f5,29,35,6
1r3bnr/2q3pp/2ppk3/p3p3/5P2/pPP1PN2/N1BP2QP/1RB2K1R w - - 1 26,c1a3,white,c1a3,714,705,-9
r1bk1bnr/2pn2pp/p2p1p2/1N1qp1B1/Pp6/2NP1P2/1PPKP1PP/1R1Q1B1R w - - 9 13,c3d5,white,c3d5,481,473,-8
r2qkbnr/p1pnp3/1p1p4/1N3ppp/1QBP4/4PP1b/PPP2KPP/R1B3NR b kq - 1 9,h3g2,black,c7c6,-284,-359,-75
rn2k2r/p1pp1p1p/2b2Bpn/3P4/4p3/pPN4P/R1P1P1PR/3QKBN1 b kq - 0 14,e8g8,black,h6f5,-827,-877,-50
rnb1kbr1/1p1pppq1/2p4p/P5p1/4n3/3NP1P1/RBPP3P/2Q1KB1R b K - 2 15,g7g6,black,g7h7,340,331,-9
1n3br1/1bpk4/3p4/1P1P1Ppp/4q3/P1PN3P/1B1nB2K/RN5R b - - 1 25,e4e2,black,e4e2,99998,99999,1
r1b1kbn1/2Bqp3/n1p3pr/3p1p1p/pP2P2P/P2P1NP1/R1p2P2/1N1QKB1R b Kq - 1 16,c2d1q,black,c2d1r,865,869,4
rn2q1nr/pbpp2pp/Qp3pk1/1Nb1p3/2P3P1/N2P4/PP2PPBP/R1B1K2R w KQ - 0 12,a6b7,white,a6b7,587,606,19
r2qk1nr/pbpp1pb1/2n5/3Bp1p1/1P2P2p/P4Q1N/1B1P1PPP/RN2K2R w KQkq - 0 12,f3f7,white,f3f7,99999,100000,1
1n2qn1r/rp1bpp1p/1kp3pb/p2p2P1/P2PPB1P/2NB1NQ1/1PP2P2/R4K1R w - - 7 19,f4c7,white,f4c7,99999,100000,1
rnb1kb1r/1q2pp1p/pp4pn/2ppP3/P5P1/3P4/1PP2PBP/RNBQ1KNR w k d6 0 11,e5d6,white,e5d6,398,374,-24
rnbk1bnr/3ppq2/2p2ppp/1p2N1P1/p7/2NP1P2/P1P1P1RP/R2QKB2 w Q - 0 16,e5f7,white,e5f7,595,588,-7
rn1qkbn1/pppbp1pr/7p/5p2/1PP2P2/8/P2PP1PP/RNBK1BNR w q - 0 7,e2e3,white,g1f3,-671,-674,-3
rn1q1b1r/p3k1n1/bN4pp/2pp4/p2Pp3/1QP5/1P1BPp1P/RN1K1B1R b - - 0 20,a4b3,black,a4b3,620,610,-10
r2qkbnr/2p1p1p1/bpn2p2/QP1p4/2P1P1p1/P6P/R2P1PP1/1NB1KB1R b Kkq - 0 13,c6a5,black,c6a5,699,673,-26
r1bqkb1r/1ppp2p1/p3p3/3n4/P2P1NBP/2PP4/1P1Q1P1P/RNB1K1R1 b Qkq - 0 14,d8h4,black,d8h4,-483,-494,-11
1nb2k1r/7p/rp1p4/pq3ppP/2P5/B2PP1p1/P2K2B1/R5Nn w - - 0 22,c4b5,white,c4b5,-51,-36,15
1r1qr2b/1pp4p/2n1p1k1/p5p1/1PN1Ppn1/7P/P1P1KPBR/1QB3N1 w - - 2 25,h3g4,white,h3g4,54,55,1
rn1qk2r/p2bp1bp/1p1P2pB/2p2p2/6P1/Pp6/4PP1P/RN1QKBNR w KQkq - 0 11,h6g7,white,h6g7,493,414,-79
r1b2bnr/1ppkq1pp/p7/4pp1P/1P1P4/5PPN/PP1PR3/RNBQKB2 w Q - 2 14,d4e5,white,d4e5,606,600,-6
r1b1k1nr/p1p3p1/4P2p/1pP5/1n1p4/P4KPB/P2PP2P/R4QNR b - - 1 21,g8e7,black,b4c6,-605,-625,-20
rnb2b2/1q2kprp/pp3np1/1p2p1N1/1P1PpB1P/8/P1P2PK1/R2Q3R w - - 0 24,f4e5,white,d4e5,-499,-545,-46
rn2kbnr/p6p/b2p1pp1/P1p1p1N1/3RP2P/1PpPKR2/1BP1P1P1/4QB2 w - - 4 25,d4d6,white,d4d6,209,191,-18
rnq2bnr/1ppk1p1p/4pPp1/3p4/P1P1B3/P2P2PP/4PK2/RNBQ2NR b - - 0 14,d5e4,black,d5e4,-252,-251,1
r4bnr/p3kq2/n2pppp1/2p2P1p/1P4PP/1b1PP1R1/PP1N4/R1B1K1N1 w - - 1 22,d2b3,white,b4c5,-685,-704,-19
1rbk2nr/4p1bp/4Bp2/p3P1pn/1pp3P1/qPN2P2/2PP2QP/RNBK2R1 b - - 0 24,a3a1,black,a3a1,293,301,8
r1b1qb1r/pp1kpp1p/2p5/3pn1Bn/1P3P2/PQP5/3PPNPP/RN2KB1R w KQ - 3 17,f4e5,white,f4e5,427,406,-21
1nbqk1n1/5pr1/r2ppbp1/1p3P1p/1Qp1P1PP/2P1R3/PP1P3N/RNB1KB2 w Q - 0 15,g4g5,white,b4b5,-113,-99,14
4kbr1/rq1npp1n/3p2pp/pbp5/1P1P3P/P1P1PPK1/2N3P1/R1BQ2NR b - - 0 22,b5a4,black,b5a4,407,398,-9
rnq1kbn1/1bpppp2/2N5/6pr/7p/3pP1P1/PP1P1P1P/1RB1K1NR w Kq - 0 11,g3g4,white,c6e5,-977,-989,-12
r1bqkbnr/pp2p1p1/2np4/1Pp2p1p/P1P5/2N4N/3PPPPP/R1BQKB1R w KQkq - 1 7,b5c6,white,b5c6,371,362,-9
r2k1bn1/1pp1nr2/2Pp3p/p4b2/1P1pB1p1/PQB4N/3N1P1P/R3K1Rq b Q - 2 24,f7f6,black,d6d5,-361,-368,-7
rnb3n1/k2pb1r1/1p3pqp/p1p1P1p1/P1Pp2PN/1P6/1R1P1PRP/2BQ2KN w - - 10 25,h4g6,white,h4g6,118,135,17
1rb2bnr/6pp/3kpp2/1pp5/p1P1P1n1/P1K1RP2/RP1P2qP/1NBN4 w - - 8 24,b2b4,white,f3g4,-853,-922,-69
r1b2b2/1p3p1r/2kpqn2/p1n1p1pp/2PP2PP/PP3P2/3KN3/R2Q2NR b - - 7 23,h5g4,black,h5g4,547,567,20
r1bqkbn1/pp1pp1p1/5prB/2p1n2p/3N4/NP1P3P/P1P1PPP1/R2QKB1R w KQq - 7 8,d4e6,white,d4e6,-308,-311,-3
r1bq1b2/ppppk3/5prn/2n3pp/1PQ5/4PPP1/P1PP2BP/1RB2KNR w - - 2 13,b4c5,white,b4c5,260,234,-26
rnbqk2r/p4p1p/1p3n1b/2ppp1p1/5BP1/N1QP4/PPP1PP1P/R3KBNR b KQkq - 1 8,d5d4,black,d5d4,401,419,18
rn3br1/p2ppkpp/b1p2p1n/q7/1p3P2/P1P1P3/1PNPQ1PP/R1B1K1NR w KQ - 1 12,c3c4,white,c3c4,-375,-422,-47
2b1k1nr/rppp1ppB/n3p3/p7/6Pq/b2P1P2/PPP1P2P/R1BQ1KNR b k - 2 8,a3c5,black,a3c5,434,464,30
rnb1kbnr/p1ppq2p/4pp2/1p4p1/P3N3/RP4P1/2PPPP1P/2BQKBNR b Kkq - 0 6,b5b4,black,b5b4,290,308,18
4kbnr/rp1qp2p/p1n5/8/P1p2pQ1/1P1Pp1PP/RBN2P2/3K2NR w k - 1 18,g4d7,white,g4d7,137,104,-33
1nk1Bb2/r1p2pr1/p1n1N3/2q1P2p/3P2P1/7P/PP3K1P/1RB3NR w - - 1 23,e6c5,white,e6c5,480,483,3
2bqk1n1/rBpn4/3p3r/PpP1pp1p/5pP1/PRNP4/4P2P/2BQK1bR w K - 2 17,h1g1,white,b7c8,-218,-217,1
Rnb2b1r/2qknpp1/1pp1pP1Q/1B1p4/4P1P1/3P4/1BP2N1R/1N2K3 w - - 1 26,h6h8,white,h6h8,633,690,57
rq2kb1r/1b1pnp1p/1p6/p3p1P1/1PP1P2p/8/N1PPQPR1/R3KBN1 b Qq - 2 19,a5b4,black,a5b4,355,343,-12
r1bqkb1r/p1p4p/1n1Q4/1Pn3p1/3Pp3/1P2KP2/P5PP/RN3B1R w q - 0 21,d6d8,white,d6e5,-454,-497,-43
rnb1q2r/p1pppkbp/1p3p2/P7/1N3Np1/R5n1/1PPPPP1P/2BQKBR1 w - - 4 13,a3g3,white,a3g3,496,493,-3
r1b2bnr/4pk2/n4qp1/1ppp3p/p1PP2pP/PPN1PN2/4BP1R/1RBQK3 w - - 1 15,f3g5,white,f3e5,266,258,-8
r1b1qb1r/pppkpp1p/3p1n2/4n1N1/P4P2/6K1/1PPPP2P/RNBQ1BR1 w - - 2 10,f4e5,white,f4e5,280,270,-10
1rq1kbn1/1ppn2p1/p2p3r/3p3P/1P3pP1/3b4/P1PNPP1R/RQ2KBN1 w Q - 0 18,e2d3,white,g4g5,70,82,12
2bqkbr1/4ppp1/rNnp4/3B3p/ppPN1P2/4P2P/PP1P4/R1BQK2R b KQ - 0 20,c6d4,black,c6d4,-311,-303,8
rnbqkbnr/1pp1p1pp/p4p2/8/QP6/2p1PP1P/P2P2P1/RNB1KBNR b KQkq - 1 6,c8d7,black,c8d7,72,61,-11
rnb1k1nr/pppp2p1/B3p3/5P1p/7q/b3P2P/PPPP1P2/RNBQK1NR w KQkq - 0 6,a6e2,white,a6e2,230,219,-11
rnbqkb1r/2pppp1p/1p5n/pN4p1/2P5/1P5N/P2PPPPP/R1BQKBR1 b Qkq - 1 6,c7c6,black,e7e5,-47,-33,14
r1bqkbnr/ppp2p1p/3pp1p1/n7/7N/4PP2/PPPP1KPP/RNBQ1B1R w kq - 2 6,g2g3,white,g2g3,-97,-90,7
rn1q2nr/p1pp2kp/b2b1p2/1p2pPp1/2PP4/1Q3NP1/PP2P2P/R1B1KBNR b KQ - 0 11,b5c4,black,b5c4,211,207,-4
r2k2r1/1bqn1p1p/2pp2p1/p3pNb1/PP1PP3/2p2B2/1B3P1P/RQ3KNR b - - 1 20,c3b2,black,c3b2,462,436,-26
1nbq1k1r/4r3/pp2pnP1/2pp3p/2PP1pP1/BP5R/PQ2PP1N/RN2KB2 w Q - 0 20,b1c3,white,b1d2,474,452,-22
r2knb1r/p3p2p/2P2p2/3B2P1/2Pp4/1P1nB3/2RKQ3/1N5R w - - 0 23,e3d4,white,d2d3,829,891,62
1r1q1bnr/2pkp3/2npb1pp/pp2Pp2/1PBN4/5P1P/P1PPK1P1/R1BQ2NR b - - 0 13,c6d4,black,c6d4,619,613,-6
r1bqk1nr/1ppp4/2n1p2p/p4p2/6p1/1PNP2PP/PbPKPP2/2RQ1BNR b kq - 0 10,d8e7,black,d8e7,528,507,-21
1n2kb1r/r4pp1/2b1p3/pppP3p/4p1n1/B1N2PPP/P3K1B1/1R4NR w k - 0 17,d5c6,white,d5c6,232,227,-5
rn3b2/pq2kp1r/1ppppnp1/1N2PP1p/3P3P/BP6/P1P3P1/RQN1KR2 b Q - 0 16,c6b5,black,c6b5,-91,-88,3
r1b2bn1/4k1pr/7p/pppp1p2/PP1B2P1/7P/2PPP2R/RNQ1KBN1 w - - 0 20,d4c5,white,d4c5,902,882,-20
1rb2b1r/4k1p1/1Q1p3n/pnP2p1p/P2Pp2P/1P1p2P1/2NK1P2/1RB2BNR b - - 0 22,b8b6,black,b8b6,-299,-293,6
3q1b1r/1bpQpk2/r5p1/p1n2p1p/3P1P1P/N1P1PnP1/PP1B1N2/R2K1BR1 b - - 2 19,c5d7,black,c5d7,628,622,-6
r3kbn1/p2n1pr1/b2pp3/1ppP1PPp/NPq3P1/7B/P1P1PR2/R1BQK1N1 w q - 0 19,d5e6,white,d5e6,225,222,-3
2bqkb1r/rpppppp1/5n1p/pP6/8/N1P1n1PB/PB1P1P1P/R1Q1K1NR w KQk - 1 14,f2e3,white,d2e3,381,343,-38
r1bqk1nr/pppp3p/2nbppp1/8/P7/2P3PN/1P1PPP1P/RNBQ1K1R b kq - 3 7,d6f8,black,d6f8,513,508,-5
rn1k1QnR/2qb2b1/p1ppp3/8/2p3P1/N6N/PP1PPP2/R1B1KB2 b Q - 4 14,g7f8,black,g7f8,17,29,12
1nb1kbn1/2pp1p2/r1B3p1/1P2pq1r/p3P2p/P2PQ3/1B2NPPP/RN3K1R b - - 0 20,f5g5,black,f5g5,-147,-143,4
r1b2knr/ppp2pb1/2q1p1pp/n2p4/P7/N2P4/1PPKPPPP/R1BQ1BNR w - - 2 11,c2c3,white,g1f3,-113,-157,-44
rn1qkbn1/2pppppr/Q7/7p/8/3PBb2/PPP1PPPP/RN2KBNR b KQq - 0 8,b8a6,black,b8a6,521,533,12
r1bq1bnr/2pppk1p/5pp1/pp6/6n1/N2P1P1K/PPP1P1PP/R2QBBNR w - - 6 9,h3g4,white,h3g4,154,139,-15
rnbq1b1r/1pppk1pN/p3p2n/5p2/2PP4/P7/RP1BPPPP/1N1QKB1R b K - 0 8,h6f7,black,h6f7,-165,-164,1
1n2kb1r/rpq2p1p/p2pp2n/2p3p1/3P2b1/N1P1P1P1/PP1K1P1P/R1B1QBNR b k - 2 12,c7c6,black,c7c6,84,117,33
r1bqkbnr/1ppp2pp/p1n5/5p2/5p2/BP1P3P/P1P1PKP1/RN1Q1BNR b kq - 0 6,d8h4,black,d8h4,99998,99999,1
r1b4r/pp1p4/n1pbkp2/3nP1p1/6P1/BPP2B1P/P2P4/R1QKN1q1 b - - 0 22,d6e5,black,d6e5,528,562,34
r3k1nr/p4ppq/1pnpb2p/8/2PPpP2/PP2B1bP/4P1K1/RN3BNR w kq - 3 19,g2g3,white,g2g3,-611,-599,12
rn1qkr2/Bb1ppp1p/2p4b/1p2P2n/P4PpP/R1PP3R/1P1QB1P1/1N2K1N1 w q - 4 20,e2g4,white,e2g4,237,229,-8
1rbqkb1r/pp1pppp1/5n2/6Bp/1np1P2P/3P1N2/PPP2PP1/RN1QKBR1 b Qk - 0 8,c4d3,black,c4d3,15,14,-1
r1bq1bnr/p2k4/2n4p/PPp1pp2/1P2p1PP/6P1/1BQP4/RN2KBNR b K - 1 16,c6b4,black,c6b4,-32,-30,2
1rbqkbnr/1ppppp1p/6p1/p1P5/8/B6P/P1PPPPP1/RN1QKBNR w KQk - 0 6,b1c3,white,b1c3,458,457,-1
r1b1kb2/2p1n3/pp1p1Qp1/n7/2B1PP2/Pq1P2pP/2PNR3/R1B1K1N1 w q - 0 20,f6f7,white,f6f7,809,799,-10
1rbk3r/ppp2pp1/4pn2/PN5p/Q1pb1P1q/4P1R1/3P2PP/2B1KBNR b K - 3 18,f6d5,black,f6e4,-551,-580,-29
2bq1bnr/4k2p/n3p1p1/1ppp3B/2r2p1P/1PN1P2Q/R1PP1PP1/2B1K1NR w - - 2 16,b3c4,white,b3c4,289,306,17
1r3k1r/pp1b2pp/n3Q3/3p3P/1bp2pn1/BPPPPN2/P2KP1PR/1R3B2 b - - 1 19,d7e6,black,d7e6,191,196,5
r1bqk1r1/pp1np1bp/n2p2p1/8/3pP3/P6P/1PPKN1P1/RNB1QBR1 w q - 0 13,d2d1,white,d2d1,-211,-224,-13
rn1qkbn1/ppp2p1r/8/3pp1pp/1PPP4/P3B1PN/4PP1R/RN1QKB2 b Qq - 0 10,g5g4,black,g5g4,-380,-400,-20
rn1qk1r1/p1p1ppb1/5np1/3p2Bp/Pp1P3P/1RP2PPR/1P2P3/1N1QKBN1 w q - 1 11,c3b4,white,c3b4,543,537,-6
r2qk1r1/p2p1ppp/b1nbp2n/1pp1P3/1P4P1/B2P3P/P1P1KP2/R2Q1BNR w q - 0 12,e5d6,white,e5d6,-235,-249,-14
4kbr1/6pp/r1pP1B1P/P7/3PN2P/1b4P1/P3P1BR/R2QK3 b Q - 0 25,b3d1,black,b3d1,-850,-860,-10
5qnr/p1pkrp2/1p1pb1pb/2n1P2p/5B2/NP4P1/P1PKPPBP/R2QN2R w - - 12 14,e5d6,white,d2c1,164,193,29
3rk2r/p1pb1ppN/7p/1PPppn2/3PP3/1P4Rq/5PP1/1NB1KBR1 b k - 0 25,h3h4,black,h3h4,338,324,-14
2r2b2/3kppr1/pP1Bn3/3p2pp/P1p5/5P1P/Q1PPNKB1/RN5R b - - 0 25,e7d6,black,d7d6,-763,-765,-2
r1bk4/ppp2p2/5b2/3qB1pp/Pn1N3P/1P2P3/N1PP1nP1/R2QKBR1 w Q - 3 21,e5f6,white,e5f6,843,908,65
r2q1b1r/1pp2ppp/2k1p2n/p2pn3/PPP3bP/2RP4/Q3PPP1/RNB1KBN1 b Q - 0 15,d5d4,black,d5d4,93,92,-1
rn3b1r/p1pq1k2/bp3Ppp/3ppPB1/8/NQPP4/PP2BK1P/1R4NR w - - 2 20,f5g6,white,f5g6,352,359,7
2bq1bn1/rpppk1pr/n1B1p3/p6p/1P2p3/N2Q4/P1PPKPPP/R1B3NR w - - 10 14,c6e4,white,c6e4,112,108,-4
r2kqbnr/2p1pppp/pp1p4/1P6/P1b2P1P/6P1/2QNP3/RNBK1B1R b - - 0 13,a6b5,black,c4d5,-379,-350,29
rn2qbnr/N2pp1pp/bp1k4/8/2pP2PP/4PQ2/1PP2PR1/R1B1KBN1 b Q - 1 14,a8a7,black,a8a7,-6,-30,-24
r1bqkb1r/2pp1ppp/2n4B/pp1n2Q1/3p3P/P6R/1PP1PPP1/RN2KBN1 b Qkq - 0 8,d5e7,black,c6e7,275,321,46
1qb1k1r1/2rp3p/ppBbppp1/2p1nP2/PnPP2P1/BP5P/1R1NP2R/3QK1N1 b - - 5 23,e5c6,black,e5c6,435,428,-7
1n1qkb1r/1p2p1p1/1rpp3p/3P1p2/pP2n1b1/B1Q3P1/P1P1P1BP/RN1K2R1 w k - 2 19,g2e4,white,g2e4,-451,-452,-1
rnbqk1nr/1p1p2pp/3b4/p1p1pp2/P2P4/2P1P1PB/1P3P1P/RNBQK1NR b KQkq - 1 8,g8f6,black,c5d4,-116,-139,-23
rnbq3r/3pk1pp/pp3n1b/4p3/1pP1Pp2/NR1P1Q2/P4PPN/R1B1KB2 w Q - 0 14,a3c2,white,a3c2,-89,-81,8
r1bqkb1r/1pp1pp1p/p2p4/4n1N1/1P3n2/2PPP3/P2QKPPP/RNB2B1R w kq - 3 9,e3f4,white,e3f4,385,382,-3
rn2k2r/2p1n3/b2pBb1p/pq4p1/1RP1p3/3QPPP1/1P2K2P/2B3NR b q - 1 25,e4d3,black,e4d3,920,942,22
r1bqkbr1/pppppppp/2n2n2/4P2P/2P5/7N/PP1P1PP1/RNBQKB1R b KQq - 0 6,c6e5,black,c6e5,-33,-30,3
r1b3nr/p1npbk2/4pppp/1pp3Q1/2B2P2/P1N1P3/1PPP2PP/1RB1K1NR w K - 5 13,g5g3,white,g5g3,556,587,31
1rbqkb2/n2ppppr/1pp1P3/p7/6Pp/BPPN3P/P1QPBP2/R3K1Nn b Q - 1 16,d7e6,black,d7e6,198,189,-9
r1b1kbnr/p1pp2pp/2n1p3/1p2qp2/3P2P1/2Q4B/PPP1P2P/RNBK2NR w kq - 2 8,d4e5,white,d4e5,572,574,2
2r1kb1B/pp2pp2/n1p1b3/1B4pp/1P1Pp1n1/5q1P/P1PNNP2/R3QK1R b - - 0 17,g4e3,black,g4e3,99998,99999,1
rnbqkbnr/1p1pp3/p1p2p1p/6p1/8/3KPPPN/PPPP3P/RNB1QBR1 w kq - 0 9,d3e2,white,b2b3,-106,-120,-14
1Q4nr/p2bp1b1/3k4/1n1P1p1p/8/N3PpP1/P2P1K1P/2r2BNR b - - 3 25,d6d5,black,b5c7,-539,-600,-61
rnb3n1/1ppk2pr/3p3B/3Bpp1p/pQ2P1Pq/PR1P4/RPP1KP1b/1N6 w - - 0 22,d5g8,white,h6e3,-479,-517,-38
2bqk1r1/rpp2p1p/2P1p1pb/4n3/1P1p2P1/2P1P3/P2BNP1P/RNQ1KR2 b Q - 1 14,e5d3,black,e5d3,588,575,-13
rnb1kb1r/1p1ppp2/1qp3p1/pB5p/1P4P1/N3PN2/P1PP3P/R1BQKR2 w Qkq - 2 12,c1b2,white,c1b2,245,268,23
rb1qkr2/n4p1p/1N3n2/p1pppbp1/2PP3Q/4PPPP/PP2K3/R1B2BNR b q - 6 19,g5h4,black,g5h4,639,632,-7
rnb3qr/pp2pk1p/6pb/1Pp2p2/2npNQP1/7N/PBP2P1P/3RKB1R w - - 6 19,f1c4,white,f1c4,391,381,-10
rnb1kb2/pp1ppp1p/1qr2P1n/6p1/2p3P1/PPP4B/RB1PP2P/1N1QK1NR w Kq - 2 11,b3c4,white,b3c4,-166,-170,-4
r1k2bn1/1p1nQ1r1/6p1/p1p1pp2/1qP1p1bP/2NB1P1N/PP1P3P/R1B2K1R b - - 1 22,g4h3,black,g4h3,781,769,-12
rn1q1knr/pb3B2/1pp3p1/3p1P1p/PP6/2N3P1/RBPP1P1P/3QK1NR b K - 0 14,f8f7,black,f8f7,-401,-407,-6
rnbqkb1r/p1ppppp1/1p5p/6n1/8/PP1PP2P/2PN1PP1/R1BQKBNR b KQkq - 2 6,c8b7,black,e7e6,-97,-92,5
r1b1k2r/p2pb2N/2n2npp/8/2p3q1/PRP1B2p/2Q1PK1P/5NR1 w kq - 4 26,h7f6,white,h7f6,297,305,8
rnb1kb1r/pp1pnpqp/4p1p1/2p5/1P3P2/4P3/P1PPBKPP/RNBQ2NR w kq - 3 7,c2c3,white,c2c3,34,32,-2
1nb2br1/rq3p2/p3kn2/1p1pp2Q/NPP1PPp1/6PP/PB1P2K1/R4BNR b - - 0 23,f6h5,black,f6h5,421,391,-30
r1bqkb1r/pp1p1p2/2N1pnp1/5n2/3P2pP/4P3/PPP1NP1R/R1BQKB2 b Qkq - 0 12,b7c6,black,b7c6,553,531,-22
rnq3nr/1bp1kp2/pp2p1pp/3p2b1/3PP1PP/N1P4R/PP1QNP2/1R2KB2 w - - 0 12,h4g5,white,h4g5,192,195,3
1rq1k2r/p1p2b2/1pnp1p1b/3np1Np/2P1P1PP/PP1B4/3P1P2/RNBK1Q1R w k - 1 15,g5f7,white,e4d5,329,332,3
r1bqkb1r/pp4pp/2p1pp1n/3p4/1n1P3P/N6R/PBP1PPP1/1R1QKBN1 b kq - 0 8,f8d6,black,f8d6,248,256,8
rnbqk1nr/1p1p1pp1/2Q5/4p2p/pb2P3/1PPP1N2/P2B1PPP/RN2KB1R b KQkq - 0 10,d7c6,black,d7c6,576,546,-30
